number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
54,0.015351148202894892,2020-11-21 17:27:26.892147,2020-11-21 18:15:20.656258,0 days 00:47:53.764111,0.15000000000000002,0.0030681384969575647,0.00010017045638687325,2,1677,4,COMPLETE
55,0.015355240610690418,2020-11-21 18:15:20.857790,2020-11-21 19:04:46.738711,0 days 00:49:25.880921,0.2,0.3375151241496117,2.0512924171817172e-07,2,2339,4,COMPLETE
56,0.015365639921337345,2020-11-21 19:04:46.965512,2020-11-21 20:04:58.661983,0 days 01:00:11.696471,0.55,0.12727629614806843,7.379250254271003e-06,2,2085,4,COMPLETE
57,0.015435774625216706,2020-11-21 20:04:58.832112,2020-11-21 21:12:43.974616,0 days 01:07:45.142504,0.8,0.04769041095129656,2.059251111819239e-06,3,3696,3,COMPLETE
58,0.015360939120760173,2020-11-21 21:12:44.105407,2020-11-21 22:05:46.026983,0 days 00:53:01.921576,0.30000000000000004,0.001386837943045696,0.0005676299432676219,2,2728,4,COMPLETE
59,0.015370174861015605,2020-11-21 22:05:46.125642,2020-11-21 22:57:27.805642,0 days 00:51:41.680000,0.25,0.0054301359635766,0.005001512576608761,2,2989,4,COMPLETE
60,0.01539483297298557,2020-11-21 22:57:27.949647,2020-11-21 23:53:25.049533,0 days 00:55:57.099886,0.4,0.47369852598868994,2.3331839462023268e-05,2,877,3,COMPLETE
61,0.01534203763885536,2020-11-21 23:53:25.246806,2020-11-22 00:41:38.026707,0 days 00:48:12.779901,0.15000000000000002,0.04003392481254673,3.609964186988957e-06,2,2543,4,COMPLETE
62,0.015346531168829208,2020-11-22 00:41:38.207501,2020-11-22 01:31:19.117681,0 days 00:49:40.910180,0.2,0.03627548922462329,2.8675701422636815e-07,2,2550,4,COMPLETE
63,0.015351318068099855,2020-11-22 01:31:19.262213,2020-11-22 02:17:51.075346,0 days 00:46:31.813133,0.1,0.013519556351244693,3.7545891486583314e-07,2,2440,4,COMPLETE
64,0.01533247580629619,2020-11-22 02:17:51.292607,2020-11-22 03:07:27.100366,0 days 00:49:35.807759,0.2,0.035264969777449647,0.00013572444916884002,2,2004,4,COMPLETE
65,0.015350094409445505,2020-11-22 03:07:27.210743,2020-11-22 03:57:06.471628,0 days 00:49:39.260885,0.2,0.03516887092756083,2.4736793369664328e-08,2,2237,4,COMPLETE
66,0.015343052287633005,2020-11-22 03:57:06.679356,2020-11-22 04:45:25.431762,0 days 00:48:18.752406,0.15000000000000002,0.2577542230566937,9.368019961173762e-05,2,2610,4,COMPLETE
67,0.015357180280220274,2020-11-22 04:45:25.628275,2020-11-22 05:32:20.478134,0 days 00:46:54.849859,0.1,0.2033896934244285,7.183318304893354e-07,2,3168,4,COMPLETE
68,0.015339023852395576,2020-11-22 05:32:20.596083,2020-11-22 06:20:40.413157,0 days 00:48:19.817074,0.15000000000000002,0.0261952624425217,0.00010121984261030784,2,2578,4,COMPLETE
69,0.015342643423880772,2020-11-22 06:20:40.573628,2020-11-22 07:09:00.089303,0 days 00:48:19.515675,0.15000000000000002,1.1254814880837723e-07,3.843689483454181e-06,2,2576,4,COMPLETE
70,0.015339672053602512,2020-11-22 07:09:00.290606,2020-11-22 07:56:49.989983,0 days 00:47:49.699377,0.15000000000000002,7.242890276850024e-08,2.673782775688348e-06,2,2587,4,COMPLETE
71,0.015344843836345703,2020-11-22 07:56:50.151301,2020-11-22 08:44:59.609159,0 days 00:48:09.457858,0.15000000000000002,7.577685251236332e-08,3.4321138798749793e-06,2,2381,4,COMPLETE
72,0.015337249906110796,2020-11-22 08:44:59.823665,2020-11-22 09:33:06.385694,0 days 00:48:06.562029,0.15000000000000002,1.2893558122661353e-07,7.322062019176244e-06,2,2590,4,COMPLETE
73,0.015347278065090382,2020-11-22 09:33:06.526439,2020-11-22 10:19:30.267762,0 days 00:46:23.741323,0.1,1.9419842909694602e-07,6.860816470622193e-06,2,2243,4,COMPLETE
