number,value,datetime_start,datetime_complete,duration,params_activation,params_denses,params_drop_rate0,params_drop_rate1,params_drop_rate2,params_drop_rate3,params_drop_rate4,params_drop_rate5,state
72,0.016973863506218306,2020-11-24 23:36:19.488928,2020-11-24 23:42:27.949817,0 days 00:06:08.460889,relu,"[1024, 1024, 1024, 1024, 1024]",0.22506153520782743,0.2778608020104175,0.6330932293733151,0.42693276489093507,0.48950446541448045,0.6267291588997929,COMPLETE
73,0.017023094300415244,2020-11-24 23:42:27.976275,2020-11-24 23:48:42.890502,0 days 00:06:14.914227,relu,"[1024, 1024, 1024, 1024, 1024]",0.24327025477686345,0.31807525393847136,0.6964725351452387,0.501088804747729,0.453133502185433,0.592159043996962,COMPLETE
74,0.017323464910065946,2020-11-24 23:48:42.916860,2020-11-24 23:55:18.059048,0 days 00:06:35.142188,relu,"[1024, 1024, 1024, 1024, 1024]",0.27632573703943625,0.24115729262695668,0.6000882691265522,0.40163544434800313,0.4428054477575726,0.48692902398387605,COMPLETE
75,0.01681045168789014,2020-11-24 23:55:18.085184,2020-11-25 00:01:03.303687,0 days 00:05:45.218503,relu,"[512, 512, 512, 512, 512]",0.21899977336095683,0.28026341082279066,0.5809412670585923,0.3749878777623804,0.5105311486648714,0.558494631914681,COMPLETE
76,0.01732436021209645,2020-11-25 00:01:03.327968,2020-11-25 00:06:47.121998,0 days 00:05:43.794030,elu,"[512, 512, 512, 512, 512]",0.21646681202109577,0.2089050690181887,0.6499467570746246,0.36680244741538726,0.5166008815328523,0.5641922409422301,COMPLETE
77,0.016930439815554962,2020-11-25 00:06:47.147209,2020-11-25 00:12:22.526864,0 days 00:05:35.379655,relu,"[512, 512, 512, 512, 512]",0.30618345880345005,0.3276409259026621,0.5904783079352637,0.3087587802184975,0.5653580891699695,0.5382903101684883,COMPLETE
78,0.01688389810437984,2020-11-25 00:12:22.550091,2020-11-25 00:17:59.614605,0 days 00:05:37.064514,relu,"[512, 512, 512, 512, 512]",0.3022485805165528,0.32337561979193025,0.6216174037904367,0.29319551410308825,0.5663590051674697,0.5329743454854836,COMPLETE
79,0.016971577193847998,2020-11-25 00:17:59.639706,2020-11-25 00:23:36.287837,0 days 00:05:36.648131,relu,"[512, 512, 512, 512, 512]",0.30515470189207167,0.3106825594013352,0.6167392099670008,0.2563783708418771,0.6338130943694935,0.5314867982713236,COMPLETE
80,0.016893974357798686,2020-11-25 00:23:36.316250,2020-11-25 00:29:11.075137,0 days 00:05:34.758887,relu,"[512, 512, 512, 512, 512]",0.35686388030695837,0.24569357146739323,0.5676723457385362,0.2787517300370257,0.5738051387713556,0.5064438280931016,COMPLETE
81,0.016883875708317127,2020-11-25 00:29:11.102096,2020-11-25 00:34:46.757969,0 days 00:05:35.655873,relu,"[512, 512, 512, 512, 512]",0.3671343754455606,0.32893447781918833,0.558088296672486,0.27954861954532995,0.5744042861651261,0.45681290980848877,COMPLETE
82,0.016862817369233056,2020-11-25 00:34:46.782902,2020-11-25 00:40:18.889475,0 days 00:05:32.106573,relu,"[512, 512, 512, 512, 512]",0.36456023336019744,0.332321383007531,0.558410422153497,0.28267476167761324,0.579284064884629,0.45921168071433494,COMPLETE
83,0.016910880980348913,2020-11-25 00:40:18.915406,2020-11-25 00:45:51.739089,0 days 00:05:32.823683,relu,"[512, 512, 512, 512, 512]",0.42774824210052526,0.24676040041291686,0.5627474720721473,0.2633787917396232,0.5863976081367982,0.4643374510278158,COMPLETE
84,0.016933926889637976,2020-11-25 00:45:51.765020,2020-11-25 00:51:25.823470,0 days 00:05:34.058450,relu,"[512, 512, 512, 512, 512]",0.4071621570898426,0.24780952431761955,0.5583438100161264,0.2733598945463668,0.6028472571376582,0.45197750749348214,COMPLETE
85,0.016896516783812435,2020-11-25 00:51:25.849401,2020-11-25 00:56:57.128613,0 days 00:05:31.279212,relu,"[512, 512, 512, 512, 512]",0.4402757821670696,0.2826581223280922,0.5306708376822946,0.2152617676527797,0.5759854691596514,0.46172576810524446,COMPLETE
86,0.0170139518277198,2020-11-25 00:56:57.153574,2020-11-25 01:02:16.024504,0 days 00:05:18.870930,relu,"[512, 512, 512, 512, 512]",0.445488573400042,0.27978782461071694,0.5371162605979898,0.23062145786156907,0.6553609561585868,0.3894518265075095,COMPLETE
87,0.016915489278332984,2020-11-25 01:02:16.048439,2020-11-25 01:07:30.659751,0 days 00:05:14.611312,relu,"[512, 512, 512, 512, 512]",0.35566436897426046,0.2942241904320971,0.49919910375859644,0.21262333033625605,0.541989214121898,0.42432923131761413,COMPLETE
88,0.01701869135370872,2020-11-25 01:07:30.681484,2020-11-25 01:12:44.282885,0 days 00:05:13.601401,relu,"[512, 512, 512, 512, 512]",0.399283681774429,0.34420253121515376,0.7164283614935371,0.29228049747163926,0.5755773139628553,0.4716798211871798,COMPLETE
89,0.01715407915426254,2020-11-25 01:12:44.306250,2020-11-25 01:17:57.856299,0 days 00:05:13.550049,relu,"[512, 512, 512, 512, 512]",0.37664059013597595,0.32256395647876257,0.642652536837584,0.3371410312749934,0.7104230726669734,0.5017567411132623,COMPLETE
90,0.017040706558076747,2020-11-25 01:17:57.879263,2020-11-25 01:23:10.698635,0 days 00:05:12.819372,relu,"[512, 512, 512, 512, 512]",0.5392436547168125,0.22996204554278551,0.6069888104950519,0.2377828486412861,0.6244696927215695,0.43101699519813697,COMPLETE
